source,target,label
Ron,Fudge,0
Snape,Slughorn,0
Voldemort,Lupin,0
Malfoy,George,0
Dumbledore,Dobby,1
Hagrid,Neville,1
Sirius,Mr Weasley,1
Sirius,Umbridge,0
Potter,Dobby,1
Voldemort,Neville,0
Sirius,Moody,1
Ginny,Gryffindor,1
Mr Weasley,Vernon,0
Fudge,Black,0
Voldemort,Potter,0
Malfoy,Ginny,0
Lupin,George,1
Lupin,Moody,1
Hagrid,Fred,1
Fred,Umbridge,0
Harry Potter,Vernon,0
Malfoy,McGonagall,0
Umbridge,Potter,0
Dumbledore,Vernon,0
Hagrid,Moody,1
McGonagall,Ginny,1
Ginny,Slughorn,1
Umbridge,Fudge,1
Hagrid,Lupin,1
Fred,Lupin,1
Lupin,Ginny,1
McGonagall,Neville,0
Snape,Ginny,0
Voldemort,Ginny,0
Ginny,Umbridge,0
Ron,Vernon,0
Dumbledore,Black,1
Voldemort,Slughorn,1
Harry Potter,Mrs Weasley,1
Hagrid,Ginny,1
Hagrid,Mrs Weasley,1
Hagrid,Potter,1
McGonagall,Slytherin,0
Umbridge,Gryffindor,0
Lupin,Mr Weasley,1
McGonagall,Slughorn,1
Neville,Potter,1
Neville,Moody,1
Lupin,McGonagall,1
Gryffindor,Potter,1
Snape,Fudge,1
Ron,Dudley,0
Hagrid,George,1
Hagrid,Mr Weasley,1
Voldemort,McGonagall,0
Malfoy,Harry Potter,0
Sirius,Potter,1
Fred,McGonagall,0
Harry Potter,Ginny,1
McGonagall,Fudge,0
Hagrid,Slytherin,0
Voldemort,Malfoy,1
Malfoy,Umbridge,1
Harry Potter,McGonagall,1
Harry Potter,Gryffindor,1
Harry Potter,Fudge,0
George,Slytherin,0
McGonagall,Moody,0
Neville,Umbridge,0
Voldemort,Black,0
Sirius,Neville,0
Fred,Moody,1
Fred,Slytherin,0
Harry Potter,Dudley,0
Mr Weasley,Dudley,0
Mr Weasley,Fudge,0
Voldemort,Mr Weasley,0
Malfoy,Lupin,0
Harry Potter,Neville,1
Neville,Slughorn,0
Neville,Slytherin,0
Fudge,Percy,1
Dumbledore,Dudley,1
Hagrid,Fudge,0
Malfoy,Mr Weasley,0
Harry Potter,Percy,0
McGonagall,Mr Weasley,1
Hagrid,Vernon,0
Snape,Mr Weasley,0
Sirius,McGonagall,0
Fred,Neville,1
Lupin,Potter,1
George,McGonagall,0
Malfoy,Sirius,0
Malfoy,Dobby,0
Sirius,Percy,0
Potter,Black,1
Slughorn,Slytherin,1
Hagrid,Dudley,0
Voldemort,Mrs Weasley,0
Voldemort,Fudge,0
Malfoy,Moody,0
Sirius,Gryffindor,1
Sirius,Vernon,0
Sirius,Fudge,0
Lupin,Harry Potter,1
George,Neville,1
McGonagall,Black,0
Ginny,Slytherin,0
Mrs Weasley,Moody,1
Hagrid,Black,1
Potter,Vernon,0
Hermione,Dudley,0
Hagrid,Percy,0
Voldemort,Moody,0
Malfoy,Fudge,0
Lupin,Gryffindor,1
George,Moody,1
Gryffindor,Percy,1
Snape,George,0
Snape,Percy,0
Harry Potter,Slytherin,0
George,Potter,1
McGonagall,Mrs Weasley,1
Ginny,Potter,1
Gryffindor,Slughorn,1
Snape,Fred,0
Voldemort,Fred,0
Fred,Vernon,0
Lupin,Umbridge,0
George,Vernon,0
Mrs Weasley,Fudge,0
Hermione,Vernon,0
Mrs Weasley,Potter,1
Voldemort,Umbridge,0
Voldemort,Vernon,0
Malfoy,Mrs Weasley,0
Malfoy,Percy,0
Fred,Slughorn,1
Lupin,Percy,1
George,Fudge,0
Mrs Weasley,Vernon,0
Mr Weasley,Potter,1
Mr Weasley,Moody,1
Mr Weasley,Black,1
Potter,Fudge,0
Vernon,Dobby,0
Snape,Mrs Weasley,0
Voldemort,Slytherin,1
Sirius,Dobby,1
Mr Weasley,Umbridge,0
Umbridge,Slytherin,1
Gryffindor,Moody,1
Gryffindor,Dobby,1
Potter,Slughorn,1
Hagrid,Dobby,1
Voldemort,Gryffindor,0
Malfoy,Black,0
Fred,Potter,1
McGonagall,Percy,1
Mrs Weasley,Dobby,1
Mrs Weasley,Black,0
Potter,Slytherin,0
Voldemort,Dobby,0
George,Slughorn,0
Potter,Dudley,0
Percy,Slytherin,0
Voldemort,George,0
Voldemort,Dudley,0
Sirius,Dudley,0
Sirius,Slughorn,0
Fred,Dudley,0
Fred,Fudge,0
Fred,Dobby,1
Lupin,Fudge,0
Harry Potter,Slughorn,1
McGonagall,Dobby,1
Neville,Black,0
Mrs Weasley,Gryffindor,1
Gryffindor,Black,0
Vernon,Moody,0
Moody,Fudge,0
Snape,Dobby,0
Voldemort,Percy,0
George,Dobby,1
McGonagall,Vernon,0
Mr Weasley,Gryffindor,1
Moody,Dobby,1
Dudley,Slytherin,0
Percy,Black,0
Snape,Vernon,0
Snape,Dudley,0
Sirius,Slytherin,0
Lupin,Vernon,0
Lupin,Slytherin,0
Harry Potter,Black,1
George,Black,1
Ginny,Moody,0
Ginny,Fudge,0
Ginny,Dobby,1
Neville,Mrs Weasley,1
Neville,Percy,0
Mrs Weasley,Dudley,0
Mrs Weasley,Slughorn,1
Mr Weasley,Slughorn,1
Mr Weasley,Dobby,1
Umbridge,Dobby,0
Umbridge,Percy,0
Umbridge,Black,0
Potter,Percy,0
Vernon,Fudge,0
Vernon,Slughorn,0
Vernon,Percy,0
Vernon,Black,0
Moody,Black,1
Dudley,Fudge,0
Dudley,Black,0
Fred,Black,0
George,Dudley,0
Ginny,Dudley,0
Ginny,Black,0
Neville,Dobby,1
Mr Weasley,Slytherin,0
Umbridge,Moody,0
Gryffindor,Dudley,0
Moody,Dudley,0
Moody,Percy,0
Fudge,Dobby,0
Dobby,Percy,0
Black,Slytherin,0
